ID,Category,Latitude,Longitude
SLD_04614,Landslide,13.496806,75.079
SLD_04615,Landslide,13.497169,75.080533
SLD_04616,Landslide,13.5,75.39
SLD_04617,Landslide,13.5,75.21
SLD_04618,Landslide,13.5,75.3
SLD_04619,Landslide,13.51,75.39
SLD_04620,Landslide,13.51,75.41
SLD_04621,Landslide,13.51,75.17
SLD_04622,Landslide,13.51,75.11
SLD_04623,Landslide,13.51,75.31
SLD_04624,Landslide,13.51,75.27
SLD_04625,Landslide,13.52,75.33
SLD_04626,Landslide,13.52,75.31
SLD_04627,Landslide,13.52,75.31
SLD_04628,Landslide,13.52,75.27
SLD_04629,Landslide,13.52,75.31
SLD_04630,Landslide,13.52,75.28
