ID,Land_Cover_Type,Land_Cover_QC
SLD00695,8.0,0.0
SLD00696,2.0,0.0
SLD00697,8.0,0.0
SLD00698,8.0,0.0
SLD00699,8.0,0.0
SLD00700,2.0,0.0
SLD00701,8.0,0.0
SLD00702,8.0,0.0
SLD00703,8.0,0.0
SLD00704,8.0,0.0
SLD00705,8.0,0.0
SLD00706,2.0,0.0
SLD00707,8.0,0.0
SLD00708,8.0,0.0
SLD00709,8.0,0.0
SLD00710,8.0,0.0
SLD00711,2.0,0.0
SLD00712,2.0,0.0
SLD00713,8.0,0.0
SLD00714,8.0,0.0
SLD00715,8.0,0.0
SLD00716,2.0,0.0
SLD00717,8.0,0.0
SLD00718,8.0,0.0
SLD00719,8.0,0.0
SLD00720,8.0,0.0
SLD00721,8.0,0.0
SLD00722,8.0,0.0
SLD00723,8.0,0.0
SLD00724,2.0,0.0
SLD00725,8.0,0.0
SLD00726,8.0,0.0
SLD00727,8.0,0.0
SLD00728,8.0,0.0
SLD00729,8.0,0.0
SLD00730,8.0,0.0
SLD00731,8.0,0.0
SLD00732,8.0,0.0
SLD00733,8.0,0.0
SLD00734,8.0,0.0
SLD00735,8.0,0.0
SLD00736,8.0,0.0
SLD00737,8.0,0.0
SLD00738,8.0,0.0
SLD00739,8.0,0.0
SLD00740,8.0,0.0
SLD00741,8.0,0.0
SLD00742,8.0,0.0
SLD00743,8.0,0.0
SLD00744,8.0,0.0
SLD00745,8.0,0.0
SLD00746,8.0,0.0
SLD00747,8.0,0.0
SLD00748,8.0,0.0
SLD00749,8.0,0.0
SLD00750,2.0,0.0
SLD00751,8.0,0.0
SLD00752,8.0,0.0
SLD00753,8.0,0.0
SLD00754,8.0,0.0
SLD00755,8.0,0.0
SLD00756,8.0,0.0
SLD00757,8.0,0.0
SLD00758,8.0,0.0
SLD00759,8.0,0.0
SLD00760,8.0,0.0
SLD00761,8.0,0.0
SLD00762,8.0,0.0
SLD00763,8.0,0.0
SLD00764,8.0,0.0
SLD00765,8.0,0.0
SLD00766,8.0,0.0
SLD00767,8.0,0.0
SLD00768,8.0,0.0
SLD00769,8.0,0.0
SLD00770,8.0,0.0
SLD00771,8.0,0.0
SLD00772,8.0,0.0
SLD00773,8.0,0.0
SLD00774,8.0,0.0
SLD00775,8.0,0.0
SLD00776,8.0,0.0
SLD00777,8.0,0.0
SLD00778,8.0,0.0
SLD00779,8.0,0.0
SLD00780,8.0,0.0
SLD00781,8.0,0.0
SLD00782,8.0,0.0
SLD00783,8.0,0.0
SLD00784,8.0,0.0
SLD00785,8.0,0.0
SLD00786,8.0,0.0
SLD00787,8.0,0.0
SLD00788,8.0,0.0
SLD00789,8.0,0.0
SLD00790,8.0,0.0
SLD00791,8.0,0.0
SLD00792,8.0,0.0
SLD00793,8.0,0.0
SLD00794,8.0,0.0
SLD00795,8.0,0.0
SLD00796,8.0,0.0
SLD00797,8.0,0.0
SLD00798,8.0,0.0
SLD00799,8.0,0.0
SLD00800,8.0,0.0
SLD00801,8.0,0.0
SLD00802,8.0,0.0
SLD00803,8.0,0.0
SLD00804,8.0,0.0
SLD00805,8.0,0.0
SLD00806,8.0,0.0
SLD00807,8.0,0.0
SLD00808,8.0,0.0
SLD00809,8.0,0.0
SLD00810,8.0,0.0
SLD00811,8.0,0.0
SLD00812,8.0,0.0
SLD00813,8.0,0.0
SLD00814,8.0,0.0
SLD00815,8.0,0.0
SLD00816,8.0,0.0
SLD00817,8.0,0.0
SLD00818,8.0,0.0
SLD00819,8.0,0.0
SLD00820,8.0,0.0
SLD00821,8.0,0.0
SLD00822,8.0,0.0
SLD00823,8.0,0.0
SLD00824,8.0,0.0
SLD00825,8.0,0.0
SLD00826,8.0,0.0
SLD00827,8.0,0.0
SLD00828,8.0,0.0
SLD00829,8.0,0.0
SLD00830,8.0,0.0
SLD00831,8.0,0.0
SLD00832,8.0,0.0
SLD00833,8.0,0.0
SLD00834,8.0,0.0
SLD00835,8.0,0.0
SLD00836,2.0,0.0
SLD00837,8.0,0.0
SLD00838,8.0,0.0
SLD00839,8.0,0.0
SLD00840,8.0,0.0
SLD00841,8.0,0.0
SLD00842,8.0,0.0
SLD00843,8.0,0.0
SLD00844,8.0,0.0
SLD00845,8.0,0.0
SLD00846,8.0,0.0
SLD00847,8.0,0.0
SLD00848,8.0,0.0
SLD00849,8.0,0.0
SLD00850,8.0,0.0
SLD00851,8.0,0.0
SLD00852,8.0,0.0
SLD00853,8.0,0.0
SLD00854,8.0,0.0
SLD00855,8.0,0.0
SLD00856,8.0,0.0
SLD00857,8.0,0.0
SLD00858,8.0,0.0
SLD00859,8.0,0.0
SLD00860,8.0,0.0
SLD00861,8.0,0.0
SLD00862,8.0,0.0
SLD00863,8.0,0.0
SLD00864,8.0,0.0
SLD00865,8.0,0.0
SLD00866,8.0,0.0
SLD00867,8.0,0.0
SLD00868,8.0,0.0
SLD00869,8.0,0.0
SLD00870,8.0,0.0
SLD00871,8.0,0.0
SLD00872,8.0,0.0
SLD00873,8.0,0.0
SLD00874,8.0,0.0
SLD00875,8.0,0.0
SLD00876,8.0,0.0
SLD00877,8.0,0.0
SLD00878,8.0,0.0
SLD00879,8.0,0.0
SLD00880,8.0,0.0
SLD00881,8.0,0.0
SLD00882,2.0,0.0
SLD00883,8.0,0.0
SLD00884,8.0,0.0
SLD00885,8.0,0.0
SLD00886,8.0,0.0
SLD00887,8.0,0.0
SLD00888,8.0,0.0
SLD00889,8.0,0.0
SLD00890,8.0,0.0
SLD00891,8.0,0.0
SLD00892,8.0,0.0
SLD00893,8.0,0.0
SLD00894,8.0,0.0
SLD00895,8.0,0.0
SLD00896,8.0,0.0
SLD00897,8.0,0.0
SLD00898,8.0,0.0
SLD00899,8.0,0.0
SLD00900,8.0,0.0
SLD00901,8.0,0.0
SLD00902,8.0,0.0
SLD00903,8.0,0.0
SLD00904,8.0,0.0
SLD00905,8.0,0.0
SLD00906,2.0,0.0
SLD00907,8.0,0.0
SLD00908,8.0,0.0
SLD00909,8.0,0.0
SLD00910,8.0,0.0
SLD00911,8.0,0.0
SLD00912,8.0,0.0
SLD00913,8.0,0.0
SLD00914,2.0,0.0
SLD00915,2.0,0.0
SLD00916,2.0,0.0
SLD00917,8.0,0.0
SLD00918,8.0,0.0
SLD00919,8.0,0.0
SLD00920,2.0,0.0
SLD00921,8.0,0.0
SLD00922,8.0,0.0
SLD00923,8.0,0.0
SLD00924,8.0,0.0
SLD00925,8.0,0.0
SLD00926,8.0,0.0
SLD00927,8.0,0.0
SLD00928,8.0,0.0
SLD00929,8.0,0.0
SLD00930,8.0,0.0
SLD00931,8.0,0.0
SLD00932,8.0,0.0
SLD00933,8.0,0.0
SLD00934,8.0,0.0
SLD00935,8.0,0.0
SLD00936,8.0,0.0
SLD00937,8.0,0.0
SLD00938,8.0,0.0
SLD00939,8.0,0.0
SLD00940,8.0,0.0
SLD00941,8.0,0.0
SLD00942,8.0,0.0
SLD00943,8.0,0.0
SLD00944,8.0,0.0
SLD00945,2.0,0.0
SLD00946,2.0,0.0
SLD00947,2.0,0.0
SLD00948,2.0,0.0
SLD00949,8.0,0.0
SLD00950,8.0,0.0
SLD00951,8.0,0.0
SLD00952,8.0,0.0
SLD00953,8.0,0.0
SLD00954,8.0,0.0
SLD00955,8.0,0.0
SLD00956,2.0,0.0
