S.No,Landslide,Sample_Type,Latitude,Longitude,State,District,Subdivision Or Taluk,Material Involved,Movement Type,Initiation_Year,History_date,Slide_Name
35966,0,Background,12.991584,75.302585,Western Ghats Region,Background / Unspecified,,,,,,
35967,0,Background,11.523342,76.836186,Western Ghats Region,Background / Unspecified,,,,,,
35968,0,Background,15.968857,74.103484,Western Ghats Region,Background / Unspecified,,,,,,
35969,0,Background,12.72117,75.159845,Western Ghats Region,Background / Unspecified,,,,,,
35970,0,Background,18.222971,74.115753,Western Ghats Region,Background / Unspecified,,,,,,
35971,0,Background,16.516187,73.87764,Western Ghats Region,Background / Unspecified,,,,,,
35972,0,Background,18.001328,73.919603,Western Ghats Region,Background / Unspecified,,,,,,
35973,0,Background,13.481854,75.806721,Western Ghats Region,Background / Unspecified,,,,,,
35974,0,Background,18.749218,73.82621,Western Ghats Region,Background / Unspecified,,,,,,
35975,0,Background,10.400583,76.6309,Western Ghats Region,Background / Unspecified,,,,,,
35976,0,Background,13.395816,75.203148,Western Ghats Region,Background / Unspecified,,,,,,
35977,0,Background,17.067752,73.761282,Western Ghats Region,Background / Unspecified,,,,,,
35978,0,Background,11.227444,75.845506,Western Ghats Region,Background / Unspecified,,,,,,
35979,0,Background,9.426789,76.388853,Western Ghats Region,Background / Unspecified,,,,,,
35980,0,Background,10.357291,76.151844,Western Ghats Region,Background / Unspecified,,,,,,
35981,0,Background,11.968746,76.816564,Western Ghats Region,Background / Unspecified,,,,,,
35982,0,Background,15.781271,74.509147,Western Ghats Region,Background / Unspecified,,,,,,
35983,0,Background,10.025278,76.462345,Western Ghats Region,Background / Unspecified,,,,,,
35984,0,Background,13.053097,76.000308,Western Ghats Region,Background / Unspecified,,,,,,
35985,0,Background,15.972051,73.538262,Western Ghats Region,Background / Unspecified,,,,,,
35986,0,Background,11.726756,76.169362,Western Ghats Region,Background / Unspecified,,,,,,
35987,0,Background,15.516869,74.843365,Western Ghats Region,Background / Unspecified,,,,,,
35988,0,Background,9.882853,77.168589,Western Ghats Region,Background / Unspecified,,,,,,
35989,0,Background,15.373438,74.386774,Western Ghats Region,Background / Unspecified,,,,,,
35990,0,Background,15.611264,73.91819,Western Ghats Region,Background / Unspecified,,,,,,
35991,0,Background,18.009607,73.918692,Western Ghats Region,Background / Unspecified,,,,,,
35992,0,Background,14.108624,74.680699,Western Ghats Region,Background / Unspecified,,,,,,
35993,0,Background,9.212853,77.617745,Western Ghats Region,Background / Unspecified,,,,,,
35994,0,Background,10.356171,77.660818,Western Ghats Region,Background / Unspecified,,,,,,
35995,0,Background,10.872763,76.372829,Western Ghats Region,Background / Unspecified,,,,,,
35996,0,Background,9.311398,77.006727,Western Ghats Region,Background / Unspecified,,,,,,
35997,0,Background,8.337964,77.183594,Western Ghats Region,Background / Unspecified,,,,,,
35998,0,Background,10.516485,77.824475,Western Ghats Region,Background / Unspecified,,,,,,
35999,0,Background,9.888732,76.770664,Western Ghats Region,Background / Unspecified,,,,,,
36000,0,Background,18.705634,73.295826,Western Ghats Region,Background / Unspecified,,,,,,
36001,0,Background,14.675753,74.559101,Western Ghats Region,Background / Unspecified,,,,,,
36002,0,Background,14.751118,75.280614,Western Ghats Region,Background / Unspecified,,,,,,
36003,0,Background,17.264666,74.008485,Western Ghats Region,Background / Unspecified,,,,,,
36004,0,Background,13.288747,75.693785,Western Ghats Region,Background / Unspecified,,,,,,
36005,0,Background,8.819216,77.140454,Western Ghats Region,Background / Unspecified,,,,,,
36006,0,Background,13.028385,75.841057,Western Ghats Region,Background / Unspecified,,,,,,
36007,0,Background,10.230774,76.520219,Western Ghats Region,Background / Unspecified,,,,,,
36008,0,Background,14.328637,74.67408,Western Ghats Region,Background / Unspecified,,,,,,
36009,0,Background,18.865506,74.053295,Western Ghats Region,Background / Unspecified,,,,,,
36010,0,Background,11.285369,76.748009,Western Ghats Region,Background / Unspecified,,,,,,
36011,0,Background,14.60579,74.517442,Western Ghats Region,Background / Unspecified,,,,,,
36012,0,Background,16.545458,74.074137,Western Ghats Region,Background / Unspecified,,,,,,
36013,0,Background,13.743099,75.024574,Western Ghats Region,Background / Unspecified,,,,,,
36014,0,Background,14.058006,75.347358,Western Ghats Region,Background / Unspecified,,,,,,
36015,0,Background,9.596309,77.141388,Western Ghats Region,Background / Unspecified,,,,,,
36016,0,Background,10.357391,77.609694,Western Ghats Region,Background / Unspecified,,,,,,
36017,0,Background,16.776548,73.890326,Western Ghats Region,Background / Unspecified,,,,,,
36018,0,Background,9.894596,76.378377,Western Ghats Region,Background / Unspecified,,,,,,
36019,0,Background,14.953204,74.837959,Western Ghats Region,Background / Unspecified,,,,,,
36020,0,Background,12.976094,75.844918,Western Ghats Region,Background / Unspecified,,,,,,
36021,0,Background,13.85277,75.785584,Western Ghats Region,Background / Unspecified,,,,,,
36022,0,Background,15.805217,74.012572,Western Ghats Region,Background / Unspecified,,,,,,
36023,0,Background,18.171994,73.618688,Western Ghats Region,Background / Unspecified,,,,,,
36024,0,Background,14.921699,74.998091,Western Ghats Region,Background / Unspecified,,,,,,
36025,0,Background,11.780715,75.982037,Western Ghats Region,Background / Unspecified,,,,,,
36026,0,Background,18.111813,73.208086,Western Ghats Region,Background / Unspecified,,,,,,
36027,0,Background,16.773656,73.337596,Western Ghats Region,Background / Unspecified,,,,,,
36028,0,Background,9.870954,77.237756,Western Ghats Region,Background / Unspecified,,,,,,
36029,0,Background,15.600177,73.837437,Western Ghats Region,Background / Unspecified,,,,,,
36030,0,Background,12.054706,75.914696,Western Ghats Region,Background / Unspecified,,,,,,
36031,0,Background,15.181069,74.152383,Western Ghats Region,Background / Unspecified,,,,,,
36032,0,Background,8.782277,77.643468,Western Ghats Region,Background / Unspecified,,,,,,
36033,0,Background,13.100864,74.85812,Western Ghats Region,Background / Unspecified,,,,,,
36034,0,Background,11.240023,75.793867,Western Ghats Region,Background / Unspecified,,,,,,
36035,0,Background,16.783692,73.818502,Western Ghats Region,Background / Unspecified,,,,,,
36036,0,Background,9.905855,77.463751,Western Ghats Region,Background / Unspecified,,,,,,
36037,0,Background,15.337025,74.553473,Western Ghats Region,Background / Unspecified,,,,,,
36038,0,Background,18.019497,74.129395,Western Ghats Region,Background / Unspecified,,,,,,
36039,0,Background,17.316554,73.875435,Western Ghats Region,Background / Unspecified,,,,,,
36040,0,Background,12.508229,75.454195,Western Ghats Region,Background / Unspecified,,,,,,
36041,0,Background,12.784797,75.494066,Western Ghats Region,Background / Unspecified,,,,,,
36042,0,Background,15.534058,74.054535,Western Ghats Region,Background / Unspecified,,,,,,
36043,0,Background,18.2972,73.957469,Western Ghats Region,Background / Unspecified,,,,,,
36044,0,Background,10.867015,76.367169,Western Ghats Region,Background / Unspecified,,,,,,
36045,0,Background,11.754645,76.256142,Western Ghats Region,Background / Unspecified,,,,,,
36046,0,Background,9.194187,77.191828,Western Ghats Region,Background / Unspecified,,,,,,
36047,0,Background,18.725645,73.856262,Western Ghats Region,Background / Unspecified,,,,,,
36048,0,Background,13.829867,75.867876,Western Ghats Region,Background / Unspecified,,,,,,
36049,0,Background,15.253654,74.358886,Western Ghats Region,Background / Unspecified,,,,,,
36050,0,Background,12.658264,74.947129,Western Ghats Region,Background / Unspecified,,,,,,
36051,0,Background,14.138858,74.501684,Western Ghats Region,Background / Unspecified,,,,,,
36052,0,Background,12.801703,76.189642,Western Ghats Region,Background / Unspecified,,,,,,
36053,0,Background,15.70202,73.887774,Western Ghats Region,Background / Unspecified,,,,,,
36054,0,Background,11.208312,77.416901,Western Ghats Region,Background / Unspecified,,,,,,
36055,0,Background,9.079814,77.675213,Western Ghats Region,Background / Unspecified,,,,,,
36056,0,Background,18.075342,73.188524,Western Ghats Region,Background / Unspecified,,,,,,
36057,0,Background,9.27329,77.105819,Western Ghats Region,Background / Unspecified,,,,,,
36058,0,Background,9.33963,76.763095,Western Ghats Region,Background / Unspecified,,,,,,
36059,0,Background,12.372493,75.735398,Western Ghats Region,Background / Unspecified,,,,,,
36060,0,Background,9.993054,77.653494,Western Ghats Region,Background / Unspecified,,,,,,
36061,0,Background,14.765149,74.611646,Western Ghats Region,Background / Unspecified,,,,,,
36062,0,Background,17.403116,73.620591,Western Ghats Region,Background / Unspecified,,,,,,
36063,0,Background,18.418275,73.356479,Western Ghats Region,Background / Unspecified,,,,,,
36064,0,Background,15.796971,73.675771,Western Ghats Region,Background / Unspecified,,,,,,
36065,0,Background,14.117398,74.61192,Western Ghats Region,Background / Unspecified,,,,,,
36066,0,Background,18.41473,74.098897,Western Ghats Region,Background / Unspecified,,,,,,
36067,0,Background,11.632995,76.443344,Western Ghats Region,Background / Unspecified,,,,,,
36068,0,Background,9.248906,77.545761,Western Ghats Region,Background / Unspecified,,,,,,
36069,0,Background,9.109513,77.296337,Western Ghats Region,Background / Unspecified,,,,,,
36070,0,Background,8.539568,76.94091,Western Ghats Region,Background / Unspecified,,,,,,
36071,0,Background,15.067653,75.262668,Western Ghats Region,Background / Unspecified,,,,,,
36072,0,Background,17.248591,73.225461,Western Ghats Region,Background / Unspecified,,,,,,
36073,0,Background,19.686752,73.907796,Western Ghats Region,Background / Unspecified,,,,,,
36074,0,Background,12.168957,76.042481,Western Ghats Region,Background / Unspecified,,,,,,
36075,0,Background,8.3368,77.35974,Western Ghats Region,Background / Unspecified,,,,,,
36076,0,Background,18.768361,73.840334,Western Ghats Region,Background / Unspecified,,,,,,
36077,0,Background,19.239414,73.407044,Western Ghats Region,Background / Unspecified,,,,,,
36078,0,Background,9.08947,77.426203,Western Ghats Region,Background / Unspecified,,,,,,
36079,0,Background,15.588127,74.733181,Western Ghats Region,Background / Unspecified,,,,,,
36080,0,Background,18.175415,73.428218,Western Ghats Region,Background / Unspecified,,,,,,
36081,0,Background,15.52394,73.873051,Western Ghats Region,Background / Unspecified,,,,,,
36082,0,Background,11.755798,76.087212,Western Ghats Region,Background / Unspecified,,,,,,
36083,0,Background,13.659402,74.991202,Western Ghats Region,Background / Unspecified,,,,,,
36084,0,Background,16.977396,73.369953,Western Ghats Region,Background / Unspecified,,,,,,
36085,0,Background,14.505688,75.024252,Western Ghats Region,Background / Unspecified,,,,,,
36086,0,Background,12.836881,75.727872,Western Ghats Region,Background / Unspecified,,,,,,
36087,0,Background,12.709544,75.052962,Western Ghats Region,Background / Unspecified,,,,,,
